"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0600000US5002531150","Halifax town, Windham County, Vermont","306","53","265","50","41","25",
"0600000US5002536175","Jamaica town, Windham County, Vermont","447","103","433","99","14","17",
"0600000US5002540225","Londonderry town, Windham County, Vermont","776","157","668","150","108","52",
"0600000US5002543375","Marlboro town, Windham County, Vermont","351","62","297","57","54","20",
"0600000US5002548400","Newfane town, Windham County, Vermont","720","103","628","103","92","48",
"0600000US5002557700","Putney town, Windham County, Vermont","898","76","654","79","244","80",
"0600000US5002560250","Rockingham town, Windham County, Vermont","2194","140","1353","175","841","151",
"0600000US5002565762","Somerset town, Windham County, Vermont","0","10","0","10","0","10",
"0600000US5002570750","Stratton town, Windham County, Vermont","131","43","96","38","35","24",
"0600000US5002573300","Townshend town, Windham County, Vermont","598","150","494","151","104","32",
"0600000US5002574800","Vernon town, Windham County, Vermont","1028","137","783","125","245","91",
"0600000US5002576225","Wardsboro town, Windham County, Vermont","344","43","311","46","33","22",
"0600000US5002581400","Westminster town, Windham County, Vermont","1284","127","1133","120","151","81",
"0600000US5002583950","Whitingham town, Windham County, Vermont","559","90","476","73","83","45",
"0600000US5002584700","Wilmington town, Windham County, Vermont","1016","143","752","127","264","107",
"0600000US5002584850","Windham town, Windham County, Vermont","234","53","194","49","40","24",
"0600000US5002701300","Andover town, Windsor County, Vermont","238","45","197","40","41","24",
"0600000US5002702575","Baltimore town, Windsor County, Vermont","134","30","115","31","19","11",
"0600000US5002702725","Barnard town, Windsor County, Vermont","478","112","408","102","70","55",
"0600000US5002705800","Bethel town, Windsor County, Vermont","864","117","722","106","142","47",
"0600000US5002708275","Bridgewater town, Windsor County, Vermont","459","102","392","100","67","31",
"0600000US5002712250","Cavendish town, Windsor County, Vermont","459","80","373","74","86","44",
"0600000US5002713675","Chester town, Windsor County, Vermont","1304","140","1130","151","174","88",
"0600000US5002732275","Hartford town, Windsor County, Vermont","4685","259","3176","260","1509","236",
"0600000US5002732425","Hartland town, Windsor County, Vermont","1578","130","1449","128","129","77",
"0600000US5002741275","Ludlow town, Windsor County, Vermont","934","108","672","84","262","82",
"0600000US5002752900","Norwich town, Windsor County, Vermont","1393","105","1002","138","391","106",
"0600000US5002756050","Plymouth town, Windsor County, Vermont","227","42","177","38","50","28",
"0600000US5002756350","Pomfret town, Windsor County, Vermont","433","83","352","77","81","36",
"0600000US5002758375","Reading town, Windsor County, Vermont","298","55","253","55","45","21",
"0600000US5002760100","Rochester town, Windsor County, Vermont","713","132","614","134","99","43",
"0600000US5002760850","Royalton town, Windsor County, Vermont","1256","137","797","144","459","135",
"0600000US5002763775","Sharon town, Windsor County, Vermont","641","94","511","83","130","53",
"0600000US5002769550","Springfield town, Windsor County, Vermont","3834","302","2597","303","1237","259",
"0600000US5002770375","Stockbridge town, Windsor County, Vermont","401","87","341","80","60","33",
"0600000US5002777500","Weathersfield town, Windsor County, Vermont","1050","98","944","114","106","65",
"0600000US5002782000","Weston town, Windsor County, Vermont","278","50","254","48","24","12",
"0600000US5002783050","West Windsor town, Windsor County, Vermont","485","72","475","70","10","9",
"0600000US5002784925","Windsor town, Windsor County, Vermont","1790","128","1035","157","755","157",
"0600000US5002785975","Woodstock town, Windsor County, Vermont","1361","108","944","120","417","122",
