GEOID,town_name,pct_below_poverty,pct_below_poverty_moe,below_poverty_total,below_poverty_total_moe,total_population,total_population_moe
5002321925,East Montpelier town,2.1439509954058193,1.416753060759517,56,37,2612,30
5002325825,Fayston town,4.172876304023846,2.423355495056916,56,32,1342,139
5002343600,Marshfield town,9.232420826623725,3.6509492335846336,172,60,1863,347
5002344500,Middlesex town,3.828246249353337,1.8327460351215605,74,34,1933,260
5002346000,Montpelier city,6.46014355874575,2.443233961828712,513,194,7941,40
5002346225,Moretown town,3.0678851174934727,1.6756232290917723,47,25,1532,190
5002350275,Northfield town,12.531522793404463,3.882202023852276,646,200,5155,57
5002355825,Plainfield town,11.62079510703364,6.257074838175547,152,79,1308,184
5002360625,Roxbury town,27.176220806794056,32.65529332831549,256,294,942,333
5002375325,Waitsfield town,5.965463108320251,3.9577469302833976,114,74,1911,262
5002376525,Warren town,15.709779179810726,12.845724717352466,249,198,1585,302
5002376975,Waterbury town,7.906022748461681,5.352393779329812,424,287,5363,67
5002385525,Woodbury town,3.338391502276176,2.518982327394619,22,15,659,213
5002386125,Worcester town,5.896510228640193,3.6114453883694906,49,29,831,131
5002501900,Athens town,12.064965197215777,6.85011639374261,52,27,431,99
5002507900,Brattleboro town,17.75103105799175,4.192726111783513,2109,498,11881,66
5002509475,Brookline town,6.214689265536723,3.7299742993556886,33,19,531,90
5002517875,Dover town,7.348901098901099,6.100870028268803,107,87,1456,244
5002518325,Dummerston town,4.497607655502392,2.760704807465851,94,56,2090,309
5002528900,Grafton town,4.504504504504505,2.85713032266737,30,18,666,137
5002530925,Guilford town,10.559006211180124,5.098438658016214,255,118,2415,333
5002531150,Halifax town,6.02125147579693,3.045612583817127,51,23,847,194
5002536175,Jamaica town,4.535147392290249,3.154396306119774,40,27,882,148
5002540225,Londonderry town,2.4219590958019377,1.67964309415626,45,30,1858,355
5002543375,Marlboro town,7.872078720787208,4.408354836323456,64,34,813,144
5002548400,Newfane town,10.92032967032967,4.6667486122503705,159,64,1456,209
5002557700,Putney town,16.029479502533395,7.512764401708312,348,163,2171,36
5002560250,Rockingham town,16.673657718120804,6.125000686326727,795,292,4768,29
5002565762,Somerset town,,,0,10,0,10
5002570750,Stratton town,0.0,1.8796992481203008,0,10,532,189
5002573300,Townshend town,8.050565535595476,4.229648075941707,121,55,1503,396
5002574800,Vernon town,5.454545454545454,3.5993967895565535,144,92,2640,436
5002576225,Wardsboro town,7.682926829268292,4.508589930223012,63,35,820,155
5002581400,Westminster town,8.79380053908356,5.627172169167197,261,167,2968,25
5002583950,Whitingham town,15.480557593543654,15.570261673781113,211,209,1363,238
5002584700,Wilmington town,6.067544361763022,4.349462402409389,106,75,1747,201
5002584850,Windham town,9.932659932659933,9.435046215721702,59,54,594,151
5002701300,Andover town,4.567699836867863,2.6052360093111098,28,15,613,120
5002702575,Baltimore town,1.10803324099723,1.4055805538693789,4,5,361,78
5002702725,Barnard town,2.6424442609413705,1.623260051793974,32,18,1211,299
5002705800,Bethel town,8.237327188940093,4.063706340312549,143,68,1736,228
5002708275,Bridgewater town,14.754098360655737,7.893015085549305,144,70,976,218
5002712250,Cavendish town,6.290849673202614,3.197862861903077,77,37,1224,203
5002713675,Chester town,6.951871657754011,5.448306874442134,208,163,2992,30
5002732275,Hartford town,11.125740618828177,3.2729036302252434,1183,348,10633,21
5002732425,Hartland town,8.517441860465116,3.7218824194911333,293,128,3440,34
5002741275,Ludlow town,5.592611595690097,2.5025872487170404,109,46,1949,290
5002752900,Norwich town,2.7747252747252746,1.64843695668831,101,60,3640,22
5002756050,Plymouth town,2.8142589118198873,1.983676217792882,15,10,533,122
5002756350,Pomfret town,5.8370044052863435,4.647297710133526,53,41,908,171
5002758375,Reading town,8.44062947067239,5.416821698992785,59,36,699,139
5002760100,Rochester town,18.502519798416124,10.168824667468257,257,133,1389,257
5002760850,Royalton town,12.972383720930234,4.799512561474596,357,132,2752,36
5002763775,Sharon town,2.9803424223208625,1.8918047396745166,47,29,1577,235
5002769550,Springfield town,14.765643038559222,6.015024536545473,1279,521,8662,32
5002770375,Stockbridge town,3.919089759797725,2.6453959377861582,31,20,791,157
5002777500,Weathersfield town,8.75088214537756,5.116936069139107,248,145,2834,23
5002782000,Weston town,4.334828101644246,2.1390603276829854,29,13,669,138
5002783050,West Windsor town,3.6909871244635193,2.356716636339223,43,26,1165,239
5002784925,Windsor town,7.790697674418605,4.825734979749847,268,166,3440,17
5002785975,Woodstock town,8.862034239677746,3.223348701067135,264,96,2979,24
