GEOID,town_name,pct_mobile_home,pct_mobile_home_moe,mobile_homes,mobile_homes_moe,total_housing_units,total_housing_units_moe
5001329275,Grand Isle town,14.452798663324979,5.5005731400421976,173,64,1197,107
5001335875,Isle La Motte town,15.221987315010571,8.004230020461586,72,36,473,77
5001350650,North Hero town,3.9925719591457756,2.276840202972442,43,24,1077,126
5001367000,South Hero town,5.763688760806916,3.7920883279979924,60,39,1041,106
5001504375,Belvidere town,19.00826446280992,10.43989697192619,46,23,242,55
5001511500,Cambridge town,2.5111607142857144,2.689773766504234,45,48,1792,175
5001523500,Eden town,18.352601156069365,7.86071051752615,127,52,692,87
5001523725,Elmore town,1.4705882352941175,1.6996584136087511,7,8,476,82
5001535050,Hyde Park town,22.835195530726256,8.668079274851797,327,120,1432,139
5001537075,Johnson town,27.073656270736564,8.271164043537349,408,119,1507,137
5001546675,Morristown town,8.928571428571429,4.2311522111924775,285,134,3192,189
5001570525,Stowe town,0.9242618741976895,1.1578045145603633,36,45,3895,319
5001577425,Waterville town,9.523809523809524,7.413310195345001,32,24,336,70
5001585375,Wolcott town,10.714285714285714,3.5546422706515415,81,25,756,92
5001707375,Bradford town,13.097199341021417,8.874322294677974,159,106,1214,147
5001707600,Braintree town,25.950413223140494,9.03811820402422,157,51,605,76
5001709325,Brookfield town,9.72972972972973,4.912623050221051,72,35,740,101
5001713525,Chelsea town,14.305555555555555,6.83513517361943,103,47,720,102
5001715700,Corinth town,11.866359447004609,5.315488266233161,103,44,868,117
5001725675,Fairlee town,0.46224961479198773,0.6219409587229842,3,4,649,117
5001748175,Newbury town,3.0438010393466963,1.6627620491161972,41,22,1347,138
5001753425,Orange town,16.263736263736263,7.526586547544927,74,32,455,75
5001758075,Randolph town,9.882671480144404,5.128422891310399,219,112,2216,195
5001770675,Strafford town,2.682563338301043,2.1229045440340477,18,14,671,98
5001772400,Thetford town,0.6048387096774194,0.875480982160346,9,13,1488,139
5001773075,Topsham town,10.175438596491228,6.666221881124742,58,37,570,85
5001773675,Tunbridge town,3.7481259370314843,2.4599504645395878,25,16,667,97
5001774950,Vershire town,9.502262443438914,5.551693794138675,42,23,442,90
5001776750,Washington town,8.40064620355412,5.0257031304021655,52,30,619,98
5001779975,West Fairlee town,9.511568123393316,4.884700854874919,37,18,389,64
5001784175,Williamstown town,16.431593794076164,7.380832850624233,233,103,1418,113
5001900475,Albany town,6.981132075471698,3.9593810328469106,37,20,530,91
5001903550,Barton town,7.473084230525649,4.540361808461872,118,71,1579,133
5001909850,Brownington town,26.70250896057348,7.93288712748714,149,40,558,71
5001913150,Charleston town,7.455429497568882,5.070400032736446,46,30,617,119
5001916150,Coventry town,14.725274725274726,6.86729989506904,67,29,455,79
5001916300,Craftsbury town,8.85885885885886,4.879210049062268,59,31,666,110
5001917350,Derby town,11.289120715350224,3.490749414015947,303,92,2684,157
5001928075,Glover town,7.810320781032078,4.571798592474379,56,32,717,91
5001930175,Greensboro town,1.3908205841446455,1.1223267098051055,10,8,719,76
5001933775,Holland town,11.6331096196868,9.164524945066036,52,40,447,76
5001935575,Irasburg town,11.67247386759582,6.453908814470799,67,35,574,104
5001936325,Jay town,1.2387387387387387,1.1335742782965479,11,10,888,93
5001940525,Lowell town,14.174757281553399,7.828238312052879,73,38,515,95
5001946450,Morgan town,4.057591623036649,2.024525808163302,31,15,764,93
5001948850,Newport city,3.209459459459459,2.796011422215424,76,66,2368,164
5001948925,Newport town,8.930540242557882,3.880826889336581,81,34,907,102
5001973525,Troy town,4.481132075471698,2.411326485917603,38,20,848,95
