GEOID,town_name,total_population,occupied_housing_units,nfip_claims,total_nfip_claims_paid,2011_2022_nfip_claims,2023_plus_nfip_claims,pre_2011_nfip_claims,2011_2022_nfip_claims_count,2023_plus_nfip_claims_count,pre_2011_nfip_claims_count,claims_per_capita,claims_per_housing_unit
5000357025,Pownal town,3265,1409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002157250,Proctor town,1794,690,13.0,194628.8,81384.62999999999,113244.17,0.0,5.0,8.0,0.0,108.48874024526198,282.07072463768117
5002557700,Putney town,2622,898,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5001758075,Randolph town,4843,2062,4.0,23972.449999999997,0.0,23972.449999999997,0.0,2.0,2.0,0.0,4.949917406566177,11.625824442289039
5002758375,Reading town,699,298,4.0,410264.16000000003,68496.41,341767.75,0.0,1.0,3.0,0.0,586.9301287553649,1376.7253691275168
5000358600,Readsboro town,807,390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001159125,Richford town,2467,981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000759275,Richmond town,4159,1842,38.0,795928.52,206358.38999999998,589570.13,0.0,10.0,28.0,0.0,191.37497475354652,432.1001737242128
5000159650,Ripton town,508,187,6.0,14626.72,8142.24,6143.79,340.69,1.0,2.0,3.0,28.79275590551181,78.21775401069519
5002760100,Rochester town,1389,713,4.0,224969.25,221856.52,0.0,3112.73,3.0,0.0,1.0,161.9649028077754,315.5248948106592
5002560250,Rockingham town,4807,2194,3.0,78086.54,78086.54,0.0,0.0,2.0,1.0,0.0,16.244339504888703,35.59094804010939
5002360625,Roxbury town,942,350,1.0,14500.0,14500.0,0.0,0.0,1.0,0.0,0.0,15.392781316348195,41.42857142857143
5002760850,Royalton town,2752,1256,6.0,401475.22,393800.08999999997,0.0,7675.13,5.0,0.0,1.0,145.8848909883721,319.6458757961783
5000361000,Rupert town,676,287,2.0,11150.1,11150.1,0.0,0.0,2.0,0.0,0.0,16.49423076923077,38.850522648083626
5002161225,Rutland city,15712,7414,54.0,910841.71,456903.63,336841.96,117096.12,28.0,16.0,10.0,57.97108643075356,122.85429053142703
5002161300,Rutland town,3927,1677,3.0,161676.32,81749.59,79926.73,0.0,1.0,2.0,0.0,41.17044053985231,96.40806201550389
5000561525,Ryegate town,1059,445,6.0,87816.92,26564.41,61252.51,0.0,4.0,2.0,0.0,82.92438149197356,197.34139325842696
5000162575,Salisbury town,1200,471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000362875,Sandgate town,435,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000363175,Searsburg town,129,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000363550,Shaftsbury town,3607,1280,2.0,28764.590000000004,28764.590000000004,0.0,0.0,2.0,0.0,0.0,7.974657610202385,22.472335937500002
5002763775,Sharon town,1577,641,3.0,112064.56,112064.56,0.0,0.0,3.0,0.0,0.0,71.06186429930247,174.82770670826832
5000564075,Sheffield town,573,252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000764300,Shelburne town,7969,3333,3.0,13414.17,2165.16,0.0,11249.01,2.0,0.0,1.0,1.6832940143054336,4.0246534653465345
5001164600,Sheldon town,2267,913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000165050,Shoreham town,1269,544,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5002165275,Shrewsbury town,1237,392,15.0,354109.13,41046.0,313063.13,0.0,5.0,10.0,0.0,286.2644543249798,903.3396173469388
5002565762,Somerset town,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5000766175,South Burlington city,20756,9466,2.0,7937.139999999999,7937.139999999999,0.0,0.0,2.0,0.0,0.0,0.3824021969550973,0.8384893302345235
5001367000,South Hero town,1586,657,5.0,37681.049999999996,37681.049999999996,0.0,0.0,5.0,0.0,0.0,23.758543505674652,57.353196347031954
5002769550,Springfield town,9084,3834,3.0,19775.059999999998,3703.5,16071.56,0.0,2.0,1.0,0.0,2.1769110523998236,5.157814293166405
5001161675,St. Albans city,6954,3113,1.0,1000.0,1000.0,0.0,0.0,1.0,0.0,0.0,0.1438021282714984,0.32123353678123995
5001161750,St. Albans town,7057,2534,9.0,116499.75,116499.75,0.0,0.0,9.0,0.0,0.0,16.508395918945727,45.97464483030782
5000762050,St. George town,812,305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000562200,St. Johnsbury town,7368,3266,19.0,224241.4,66626.15,157615.25,0.0,7.0,11.0,1.0,30.434500542888163,68.65933864053888
5000369775,Stamford town,963,367,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5000569925,Stannard town,228,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000170075,Starksboro town,1939,703,3.0,39656.399999999994,39656.399999999994,0.0,0.0,3.0,0.0,0.0,20.451985559566783,56.41024182076813
5002770375,Stockbridge town,791,401,7.0,412472.64,412472.64,0.0,0.0,7.0,0.0,0.0,521.457193426043,1028.6100748129677
5001570525,Stowe town,5285,2426,9.0,25426.46,17011.45,8415.01,0.0,4.0,5.0,0.0,4.811061494796594,10.480816158285243
5001770675,Strafford town,1372,578,3.0,17469.190000000002,7670.59,9798.6,0.0,1.0,2.0,0.0,12.732645772594754,30.22351211072665
5002570750,Stratton town,532,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002171050,Sudbury town,679,263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000371425,Sunderland town,1269,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000571575,Sutton town,790,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001171725,Swanton town,6820,2610,11.0,436823.68,436823.68,0.0,0.0,11.0,0.0,0.0,64.05039296187684,167.3653946360153
5001772400,Thetford town,2813,1355,2.0,26876.27,26876.27,0.0,0.0,2.0,0.0,0.0,9.554308567365801,19.834885608856087
